monthly,quarterly,semi_annual,annual
1/21/2020,3/23/2020,6/22/2020,
2/24/2020,6/22/2020,12/21/2020,
3/23/2020,9/21/2020,6/21/2021,
4/20/2020,12/21/2020,12/20/2021,
5/18/2020,3/22/2021,6/21/2022,
6/22/2020,6/21/2021,12/19/2022,
7/20/2020,9/20/2021,6/20/2023,
8/24/2020,12/20/2021,12/15/2023,
9/21/2020,3/21/2022,6/21/2024,
10/19/2020,6/21/2022,12/20/2024,
11/23/2020,9/19/2022,6/20/2025,
12/21/2020,12/19/2022,12/19/2025,
1/19/2021,3/20/2023,,
2/22/2021,6/20/2023,,
3/22/2021,9/18/2023,,
4/19/2021,12/15/2023,,
5/24/2021,3/15/2024,,
6/21/2021,6/21/2024,,
7/19/2021,9/20/2024,,
8/23/2021,12/20/2024,,
9/20/2021,3/21/2025,,
10/18/2021,6/20/2025,,
11/22/2021,9/19/2025,,
12/20/2021,12/19/2025,,
1/24/2022,,,
2/22/2022,,,
3/21/2022,,,
4/18/2022,,,
5/23/2022,,,
6/21/2022,,,
7/18/2022,,,
8/22/2022,,,
9/19/2022,,,
10/24/2022,,,
11/21/2022,,,
12/19/2022,,,
1/23/2023,,,
2/21/2023,,,
3/20/2023,,,
4/24/2023,,,
5/22/2023,,,
6/20/2023,,,
7/24/2023,,,
8/21/2023,,,
9/18/2023,,,
10/20/2023,,,
11/17/2023,,,
12/15/2023,,,
1/19/2024,,,
2/16/2024,,,
3/15/2024,,,
4/19/2024,,,
5/17/2024,,,
6/21/2024,,,
7/19/2024,,,
8/16/2024,,,
9/20/2024,,,
10/18/2024,,,
11/15/2024,,,
12/20/2024,,,
1/17/2025,,,
2/21/2025,,,
3/21/2025,,,
4/18/2025,,,
5/16/2025,,,
6/20/2025,,,
7/18/2025,,,
8/15/2025,,,
9/19/2025,,,
10/17/2025,,,
11/21/2025,,,
12/19/2025,,,
