Date,Fund,Fund Value (USD),Fund Return (%),Reference Asset Value (USD),Reference Asset Return (%),Remaining Outcome Days,Remaining Cap (%),Remaining Cap Net (%),Reference Asset Return to Realize Cap (%),Remaining Buffer (%),Remaining Buffer Net (%),Downside Before Buffer (%),Downside Before Buffer Net (%),Reference Asset to Buffer End (%),Unrealized Option Payoff (%),Unrealized Option Payoff Net (%)
8/11/2020,DAUG,31.67,5.24,332.8,8.37,10,0.65,0.63,-1.65,25.06,25.04,-10.35,-10.37,-35.41,0.65,0.63
8/11/2020,DFEB,30.77,0.29,332.8,-0.2,192,6.79,6.34,7.72,24.18,23.74,-5.67,-6.12,-29.86,-0.89,-1.34
8/11/2020,DJUL,30.57,1.1,332.8,3.44,339,7.16,6.38,4.79,26.24,25.46,-6.09,-6.87,-32.33,2.26,1.48
8/11/2020,DJUN,31.28,3.41,332.8,7.83,311,6.52,5.82,2.27,26.83,26.13,-8.25,-8.95,-35.08,4.15,3.45
8/11/2020,DMAY,31.88,5.03,332.8,16.25,283,4.49,3.86,-5.42,30.04,29.42,-9.74,-10.37,-39.78,4.49,3.86
8/11/2020,DNOV,31.66,3.61,332.8,6.74,101,3.75,3.52,1.3,25.5,25.28,-8.92,-9.14,-34.42,2.41,2.18
8/11/2020,FAUG,32.15,6.82,332.8,8.37,10,1.06,1.04,0.21,9.96,9.94,-6.99,-7.01,-16.95,0.84,0.82
8/11/2020,FFEB,30.75,0.24,332.8,-0.2,192,10.09,9.64,10.98,9.18,8.74,-0.64,-1.08,-9.82,-0.64,-1.08
8/11/2020,FJUL,30.88,2.1,332.8,3.44,339,12.52,11.75,11.12,10.88,10.1,-2.12,-2.89,-13,1.25,0.48
8/11/2020,FJUN,31.89,5.42,332.8,7.83,311,11.55,10.86,9.17,11.27,10.58,-5.26,-5.95,-16.53,2.16,1.48
8/11/2020,FMAY,32.94,8.58,332.8,16.25,283,7.63,7.02,0.71,14.49,13.88,-8.09,-8.7,-22.58,6.87,6.26
