monthly,quarterly,semi_annual,annual
1/17/2020,3/20/2020,6/19/2020,12/18/2020
2/21/2020,3/19/2021,6/18/2021,12/17/2021
3/20/2020,3/18/2022,6/17/2022,12/16/2022
4/17/2020,3/17/2023,6/16/2023,12/15/2023
5/15/2020,3/15/2024,6/21/2024,12/20/2024
6/19/2020,3/21/2025,6/20/2025,12/19/2025
7/17/2020,6/19/2020,12/18/2020,
8/21/2020,6/18/2021,12/17/2021,
9/18/2020,6/17/2022,12/16/2022,
10/16/2020,6/16/2023,12/15/2023,
11/20/2020,6/21/2024,12/20/2024,
12/18/2020,6/20/2025,12/19/2025,
1/15/2021,9/19/2022,,
2/19/2021,9/18/2023,,
3/19/2021,9/20/2024,,
4/16/2021,9/18/2020,,
5/21/2021,9/17/2021,,
6/18/2021,9/16/2022,,
7/16/2021,9/15/2023,,
8/20/2021,9/20/2024,,
9/17/2021,9/19/2025,,
10/15/2021,9/19/2025,,
11/19/2021,12/18/2020,,
12/17/2021,12/17/2021,,
1/21/2022,12/16/2022,,
2/18/2022,12/15/2023,,
3/18/2022,12/20/2024,,
4/14/2022,12/19/2025,,
5/20/2022,3/20/2026,,
6/17/2022,,,
7/15/2022,,,
8/19/2022,,,
9/16/2022,,,
10/21/2022,,,
11/18/2022,,,
12/16/2022,,,
1/20/2023,,,
2/17/2023,,,
3/17/2023,,,
4/21/2023,,,
5/19/2023,,,
6/16/2023,,,
7/21/2023,,,
8/18/2023,,,
9/15/2023,,,
10/20/2023,,,
11/17/2023,,,
12/15/2023,,,
1/19/2024,,,
2/16/2024,,,
3/15/2024,,,
4/19/2024,,,
5/17/2024,,,
6/21/2024,,,
7/19/2024,,,
8/16/2024,,,
9/20/2024,,,
10/18/2024,,,
11/15/2024,,,
12/20/2024,,,
1/17/2025,,,
2/21/2025,,,
3/21/2025,,,
4/17/2025,,,
5/16/2025,,,
6/20/2025,,,
7/18/2025,,,
8/15/2025,,,
9/19/2025,,,
10/17/2025,,,
11/21/2025,,,
12/19/2025,,,
1/16/2026,,,
2/20/2026,,,
3/20/2026,,,
