Date,Fund,Strategy Type,Series,Fund Value (USD),Fund Return (%),Reference Asset Value (USD),Reference Asset Return (%),Remaining Outcome Days,Remaining Cap (%),Remaining Cap Net (%),Reference Asset Return to Realize Cap (%),Remaining Buffer (%),Remaining Buffer Net (%),Downside Before Buffer (%),Downside Before Buffer Net (%),Reference Asset to Buffer End (%),Unrealized Option Payoff (%),Unrealized Option Payoff Net (%),Original Cap Net (%),Original Buffer Net (%)
6/11/2026,BGLD,Deep Buffer,Quarterly,16.66,-4.16,386.32,-7.38,81,13.42,13.21,17.41,7.31,7.1,-0.91,-1.12,-8.22,-0.91,-1.12,8.51,9.77
6/11/2026,DAPR,Deep Buffer,April,40.58,1.53,737.76,3.89,309,10.23,9.52,7.85,26.06,25.35,-6.56,-7.27,-32.62,2.2,1.49,11.19,24.15
6/11/2026,DAUG,Deep Buffer,August,46.42,8.61,737.76,14.66,71,2.46,2.3,-2.34,25.77,25.62,-13.18,-13.33,-38.95,2.46,2.3,11.12,24.14
6/11/2026,DDEC,Deep Buffer,December,46.96,4.49,737.76,8.4,190,6.76,6.34,3.28,25.95,25.53,-9.47,-9.89,-35.42,3.35,2.93,11.11,24.15
6/11/2026,DFEB,Deep Buffer,February,50.11,3.22,737.76,7.01,253,8.13,7.56,4.54,26.37,25.8,-8.21,-8.78,-34.59,3.42,2.85,11.02,24.15
6/11/2026,DHDG,Buffer,Quarterly,36.14,2.04,737.76,3.89,36,2.09,2.0,0.4,13.6,13.52,-4.58,-4.66,-18.18,1.68,1.6,4.09,12.29
6/11/2026,DJAN,Deep Buffer,January,45.14,3.4,737.76,6.67,218,7.63,7.14,4.65,25.93,25.43,-8.45,-8.94,-34.37,2.83,2.34,10.78,24.15
6/11/2026,DJUL,Deep Buffer,July,49.8,10.07,737.76,17.56,36,1.04,0.96,-4.75,26.07,26.0,-14.38,-14.46,-40.45,1.04,0.96,11.12,24.15
6/11/2026,DJUN,Deep Buffer,June,49.16,11.16,737.76,24.14,7,0.08,0.07,-9.72,28.33,28.32,-15.28,-15.3,-43.61,0.08,0.07,11.23,24.15
6/11/2026,DMAR,Deep Buffer,March,44.44,5.12,737.76,13.75,281,7.38,6.76,-0.6,28.65,28.03,-9.81,-10.43,-38.46,7.38,6.76,12.22,24.15
6/11/2026,DMAY,Deep Buffer,May,46.73,0.01,737.76,-0.19,344,13.49,12.69,13.78,24.79,23.99,-5.07,-5.87,-29.87,-0.26,-1.06,12.7,24.14
6/11/2026,DNOV,Deep Buffer,November,50.88,6.66,737.76,11.95,162,5.44,5.08,0.88,26.1,25.74,-11.37,-11.73,-37.47,4.51,4.16,12.08,24.15
6/11/2026,DOCT,Deep Buffer,October,46.24,6.3,737.76,11.04,127,4.59,4.31,0.62,25.81,25.54,-11.15,-11.43,-36.96,3.94,3.67,10.88,24.15
6/11/2026,DSEP,Deep Buffer,September,47.0,6.66,737.76,11.16,99,3.9,3.68,0.24,25.52,25.3,-11.51,-11.72,-37.03,3.64,3.43,10.58,24.15
6/11/2026,FAPR,Buffer,April,46.23,2.12,737.76,3.89,309,12.65,11.94,10.85,11.17,10.46,-2.2,-2.9,-13.37,1.61,0.9,14.31,9.15
6/11/2026,FAUG,Buffer,August,55.86,10.22,737.76,14.66,71,3.06,2.91,-0.32,11.6,11.45,-9.9,-10.05,-21.51,3.06,2.91,13.43,9.14
6/11/2026,FDEC,Buffer,December,53.87,5.6,737.76,8.4,190,8.28,7.86,5.86,11.28,10.87,-5.69,-6.11,-16.97,2.26,1.85,13.9,9.15
6/11/2026,FFEB,Buffer,February,60.42,4.32,737.76,7.01,253,10.0,9.43,7.48,11.51,10.94,-4.39,-4.95,-15.9,2.33,1.77,14.16,9.15
6/11/2026,FHDG,Buffer,Quarterly,35.89,0.29,737.76,-0.19,71,4.22,4.06,4.79,6.97,6.81,-0.35,-0.52,-7.32,-0.35,-0.52,4.36,7.27
6/11/2026,FJAN,Buffer,January,54.55,4.38,737.76,6.67,218,9.4,8.92,7.37,11.11,10.62,-4.52,-5.01,-15.62,1.87,1.38,13.68,9.15
6/11/2026,FJUL,Buffer,July,58.99,12.14,737.76,17.56,36,1.47,1.39,-2.56,11.93,11.86,-11.51,-11.58,-23.44,1.47,1.39,13.7,9.15
6/11/2026,FJUN,Buffer,June,59.78,14.18,737.76,24.14,7,0.11,0.1,-7.25,14.36,14.34,-13.14,-13.16,-27.5,0.11,0.1,14.29,9.15
6/11/2026,FMAR,Buffer,March,51.82,7.26,737.76,13.75,281,9.06,8.45,3.01,13.93,13.32,-6.95,-7.56,-20.88,5.87,5.26,16.32,9.15
6/11/2026,FMAY,Buffer,May,55.59,0.04,737.76,-0.19,344,16.98,16.18,17.31,9.72,8.92,-0.11,-0.91,-9.83,-0.11,-0.91,16.23,9.14
6/11/2026,FNOV,Buffer,November,57.79,8.55,737.76,11.95,162,7.01,6.66,4.17,11.3,10.95,-8.31,-8.65,-19.6,2.7,2.35,15.77,9.15
6/11/2026,FOCT,Buffer,October,51.73,8.07,737.76,11.04,127,5.98,5.71,3.64,10.97,10.7,-7.98,-8.25,-18.95,2.24,1.96,14.24,9.15
6/11/2026,FSEP,Buffer,September,54.49,8.1,737.76,11.16,99,4.89,4.68,2.56,10.97,10.76,-8.06,-8.27,-19.03,2.26,2.05,13.15,9.15
6/11/2026,GAPR,Moderate Buffer,April,41.31,1.64,737.76,3.89,309,10.4,9.7,8.14,16.44,15.73,-1.74,-2.45,-18.18,2.09,1.38,11.49,14.15
6/11/2026,GAUG,Moderate Buffer,August,41.08,8.64,737.76,14.66,71,2.35,2.2,-2.41,17.27,17.12,-8.59,-8.75,-25.86,2.35,2.2,11.03,14.14
6/11/2026,GDEC,Moderate Buffer,December,39.47,4.72,737.76,8.4,190,6.64,6.22,3.4,16.69,16.27,-4.89,-5.32,-21.58,3.12,2.7,11.24,14.15
6/11/2026,GFEB,Moderate Buffer,February,43.66,3.4,737.76,7.01,253,8.11,7.54,4.71,17.02,16.46,-3.54,-4.11,-20.56,3.24,2.67,11.21,14.15
6/11/2026,GJAN,Moderate Buffer,January,44.64,3.69,737.76,6.67,218,7.51,7.02,4.83,16.42,15.94,-3.88,-4.37,-20.31,2.54,2.05,10.97,14.15
6/11/2026,GJUL,Moderate Buffer,July,43.2,10.14,737.76,17.56,36,1.04,0.96,-4.69,17.8,17.72,-9.9,-9.97,-27.69,1.04,0.96,11.2,14.15
6/11/2026,GJUN,Moderate Buffer,June,41.1,11.45,737.76,24.14,7,0.09,0.07,-9.48,20.52,20.5,-11.01,-11.03,-31.53,0.09,0.07,11.53,14.15
6/11/2026,GMAR,Moderate Buffer,March,43.93,5.79,737.76,13.75,281,7.67,7.06,0.31,19.62,19.0,-5.65,-6.27,-25.27,7.34,6.72,13.26,14.15
6/11/2026,GMAY,Moderate Buffer,May,42.65,0.03,737.76,-0.19,344,13.74,12.94,14.05,14.75,13.95,-0.09,-0.89,-14.84,-0.09,-0.89,12.97,14.14
6/11/2026,GNOV,Moderate Buffer,November,41.43,7.0,737.76,11.95,162,5.41,5.05,1.17,17.09,16.74,-6.98,-7.33,-24.07,4.18,3.83,12.41,14.15
6/11/2026,GOCT,Moderate Buffer,October,41.16,6.73,737.76,11.04,127,4.55,4.27,0.99,16.63,16.35,-6.82,-7.1,-23.45,3.52,3.24,11.3,14.15
6/11/2026,GSEP,Moderate Buffer,September,40.57,6.84,737.76,11.16,99,3.77,3.55,0.29,16.55,16.34,-6.98,-7.19,-23.53,3.47,3.25,10.63,14.15
6/11/2026,QCAP,Conservative Buffer,April,24.71,2.57,717.12,10.52,309,10.04,9.3,2.24,24.98,24.24,-2.63,-3.38,-27.62,7.63,6.88,12.1,19.1
6/11/2026,QCJA,Conservative Buffer,January,23.18,4.66,717.12,15.43,218,6.75,6.24,-2.9,25.9,25.39,-4.79,-5.31,-30.7,6.75,6.24,11.18,19.1
6/11/2026,QCJL,Conservative Buffer,July,24.92,10.34,717.12,27.77,36,0.83,0.75,-12.3,27.29,27.21,-10.1,-10.18,-37.39,0.83,0.75,11.16,19.1
6/11/2026,QCOC,Conservative Buffer,October,23.7,7.32,717.12,18.74,127,4.2,3.91,-5.33,25.26,24.97,-7.36,-7.66,-32.63,4.2,3.91,11.51,19.1
6/11/2026,QDEC,Buffer,December,35.16,8.2,717.12,16.22,190,8.87,8.43,1.72,14.59,14.15,-7.97,-8.41,-22.56,7.02,6.59,17.32,9.1
6/11/2026,QJUN,Buffer,June,33.76,17.21,717.12,36.12,7,0.1,0.09,-13.16,18.45,18.44,-15.43,-15.45,-33.88,0.1,0.09,17.31,9.1
6/11/2026,QMAG,Moderate Buffer,August,25.13,10.62,717.12,24.21,71,2.33,2.17,-8.27,21.3,21.14,-10.27,-10.43,-31.57,2.33,2.17,13.02,14.09
6/11/2026,QMAR,Buffer,March,36.88,9.65,717.12,23.2,281,10.04,9.41,-1.9,17.97,17.33,-8.99,-9.62,-26.95,10.04,9.41,19.96,9.1
6/11/2026,QMFE,Moderate Buffer,February,24.07,5.9,717.12,17.79,253,8.34,7.75,-2.36,22.01,21.42,-5.83,-6.42,-27.84,8.34,7.75,14.11,14.1
6/11/2026,QMMY,Moderate Buffer,May,26.11,0.26,717.12,1.16,344,17.32,16.47,16.34,15.65,14.8,-0.32,-1.17,-15.97,0.83,-0.02,16.77,14.09
6/11/2026,QMNV,Moderate Buffer,November,24.84,9.49,717.12,21.53,162,5.81,5.45,-4.26,20.94,20.57,-9.12,-9.49,-30.06,5.81,5.45,15.45,14.1
6/11/2026,QSPT,Buffer,September,34.36,10.97,717.12,19.65,99,4.82,4.6,-2.24,14.3,14.08,-10.48,-10.7,-24.78,4.82,4.6,16.07,9.1
6/11/2026,RSDE,Buffer,December,23.17,6.06,209.75,8.75,190,7.87,7.45,5.58,11.14,10.72,-6.1,-6.52,-17.24,2.15,1.73,13.97,9.15
6/11/2026,RSJN,Buffer,June,36.76,14.46,209.75,18.07,7,0.44,0.42,-1.93,10.41,10.4,-13.36,-13.37,-23.77,0.44,0.42,14.94,9.15
6/11/2026,RSMR,Buffer,March,23.41,6.64,209.75,10.12,281,10.29,9.68,6.98,11.87,11.25,-6.4,-7.02,-18.27,3.08,2.47,16.95,9.15
6/11/2026,RSSE,Buffer,September,22.86,8.57,209.75,10.86,99,4.96,4.74,3.35,10.35,10.14,-8.46,-8.68,-18.81,1.53,1.32,13.72,9.15
6/11/2026,SAUG,Moderate Buffer,August,27.56,13.95,290.41,27.86,71,1.92,1.77,-8.59,20.63,20.48,-12.89,-13.05,-33.52,1.92,1.77,15.97,14.09
6/11/2026,SFEB,Moderate Buffer,February,25.85,5.51,290.41,9.75,253,10.98,10.39,6.94,17.07,16.48,-5.48,-6.07,-22.55,3.76,3.17,16.46,14.1
6/11/2026,SMAY,Moderate Buffer,May,27.92,2.7,290.41,4.61,344,15.95,15.12,13.89,16.05,15.23,-2.7,-3.52,-18.75,1.8,0.97,18.24,14.09
6/11/2026,SNOV,Moderate Buffer,November,26.79,11.98,290.41,23.26,162,5.31,4.95,-3.93,19.9,19.54,-11.14,-11.5,-31.04,5.31,4.95,17.52,14.1
6/11/2026,TDEC,Buffer,December,26.09,9.78,67.5,25.65,190,8.7,8.25,-4.67,19.05,18.6,-9.32,-9.77,-28.37,8.7,8.25,18.84,9.05
6/11/2026,TJUN,Buffer,June,23.59,17.88,67.5,45.69,7,0.03,0.02,-18.43,22.27,22.26,-15.95,-15.97,-38.22,0.03,0.02,17.9,9.05
6/11/2026,TMAR,Buffer,March,25.66,10.31,67.5,21.32,281,17.24,16.58,6.79,16.26,15.6,-9.54,-10.21,-25.81,9.78,9.12,28.6,9.05
6/11/2026,TSEP,Buffer,September,25.63,10.94,67.5,27.33,99,5.01,4.78,-7.97,18.84,18.6,-10.48,-10.72,-29.32,5.01,4.78,16.24,9.05
6/11/2026,YDEC,Moderate Buffer,December,27.43,5.18,104.73,9.71,190,7.06,6.62,3.03,17.2,16.75,-5.33,-5.77,-22.52,3.9,3.46,12.13,14.1
6/11/2026,YJUN,Moderate Buffer,June,26.88,11.87,104.73,21.31,7,0.17,0.16,-6.9,18.54,18.53,-11.39,-11.41,-29.93,0.17,0.16,12.04,14.11
6/11/2026,YMAR,Moderate Buffer,March,28.52,5.99,104.73,11.9,281,9.09,8.43,3.5,18.2,17.55,-5.84,-6.5,-24.04,5.39,4.73,14.93,14.1
6/11/2026,YSEP,Moderate Buffer,September,27.27,7.38,104.73,12.61,99,4.76,4.53,0.47,17.04,16.81,-7.48,-7.71,-24.52,4.27,4.04,12.24,14.1
