Date,Captured At (ET),Fund,Strategy Type,Series,Fund Value (USD),Fund Return (%),Reference Asset Value (USD),Reference Asset Return (%),Remaining Outcome Days,Remaining Cap (%),Remaining Cap Net (%),Reference Asset Return to Realize Cap (%),Remaining Buffer (%),Remaining Buffer Net (%),Downside Before Buffer (%),Downside Before Buffer Net (%),Reference Asset to Buffer End (%),Unrealized Option Payoff (%),Unrealized Option Payoff Net (%),Original Cap Net (%),Original Buffer Net (%),ECR
6/22/2026,2026-06-22 16:22,DAPR,Deep Buffer,April,40.8,2.08,744.33,4.81,298,,8.92,,,25.45,,-7.77,,,,11.19,24.15,1.8351326292249306
6/22/2026,2026-06-22 16:22,FAPR,Buffer,April,46.58,2.89,744.33,4.81,298,,11.1,,,10.5,,-3.63,,,,14.31,9.15,1.9625138592960811
6/22/2026,2026-06-22 16:22,GAPR,Moderate Buffer,April,41.56,2.24,744.33,4.81,298,,9.05,,,15.879999999999999,,-3.02,,,,11.49,14.150000000000002,2.125303316874826
6/22/2026,2026-06-22 16:22,QCAP,Conservative Buffer,April,24.87,3.2400000000000007,738.03,13.74,298,,8.59,,,25.66,,-4.01,,,,12.1,19.1,2.212951563972802
6/22/2026,2026-06-22 16:22,DAUG,Deep Buffer,August,46.75,9.37,744.33,15.68,60,,1.59,,,25.56,,-13.930000000000001,,,,11.12,24.14,0.40030791911921204
6/22/2026,2026-06-22 16:22,FAUG,Buffer,August,56.27,11.02,744.33,15.68,60,,2.17,,,11.5,,-10.7,,,,13.43,9.14,0.29754392805791147
6/22/2026,2026-06-22 16:22,GAUG,Moderate Buffer,August,41.33,9.31,744.33,15.68,60,,1.58,,,17.22,,-9.3,,,,11.03,14.14,0.4745923716087265
6/22/2026,2026-06-22 16:22,QMAG,Moderate Buffer,August,25.3,11.38,738.03,27.83,60,,1.48,,,22.47,,-11.04,,,,13.019999999999998,14.09,0.534897069183284
6/22/2026,2026-06-22 16:22,SAUG,Moderate Buffer,August,27.72,14.610000000000001,298.21,31.290000000000003,60,,1.18,,,21.71,,-13.55,,,,15.97,14.09,0.41378932580432176
6/22/2026,2026-06-22 16:22,DDEC,Deep Buffer,December,47.25,5.13,744.33,9.37,179,,5.7,,,25.56,,-10.44,,,,11.11,24.15,1.011655050770249
6/22/2026,2026-06-22 16:22,FDEC,Buffer,December,54.35,6.550000000000001,744.33,9.37,179,,6.9,,,10.76,,-6.950000000000001,,,,13.900000000000002,9.15,0.9455400965824928
6/22/2026,2026-06-22 16:22,GDEC,Moderate Buffer,December,39.73,5.41,744.33,9.37,179,,5.53,,,16.35,,-5.93,,,,11.24,14.150000000000002,1.1514107873572503
6/22/2026,2026-06-22 16:22,QDEC,Buffer,December,35.59,9.51,738.03,19.61,179,,7.139999999999999,,,15.25,,-9.5,,,,17.32,9.1,0.9728362855640759
6/22/2026,2026-06-22 16:22,RSDE,Buffer,December,23.27,6.509999999999999,209.58,8.66,179,,7.01,,,10.27,,-6.9,,,,13.970000000000002,9.15,0.9216381142140074
6/22/2026,2026-06-22 16:22,TDEC,Buffer,December,26.54,11.67,71.18,32.49,179,,6.419999999999999,,,20.77,,-11.3,,,,18.84,9.05,1.1419095657051008
6/22/2026,2026-06-22 16:22,YDEC,Moderate Buffer,December,27.62,5.9,104.59,9.56,179,,5.89,,,16.0,,-6.419999999999999,,,,12.13,14.099999999999998,1.103892605688285
6/22/2026,2026-06-22 16:22,DFEB,Deep Buffer,February,50.4,3.82,744.33,7.960000000000001,242,,6.94,,,25.85,,-9.31,,,,11.02,24.15,1.376702261414022
6/22/2026,2026-06-22 16:22,FFEB,Buffer,February,60.86,5.09,744.33,7.960000000000001,242,,8.64,,,10.99,,-5.65,,,,14.16,9.15,1.3803886751991503
